Sample	Date	C	N (%)	O (%)	Na	Mg	Al (PPM)	Si (PPM)	P	S	Cl	K (PPM)	Ca (PPM)	Mn (PPM)	Fe (PPM)	Cu (PPM)	As (PPM)	C (Int)	N (Int)	O (Int)	Na (Int)	Mg (Int)	Al (Int)	Si (Int)	P (Int)	S (Int)	Cl (Int)	K (Int)	Ca (Int)	Mn (Int)	Fe (Int)	Cu (Int)	As (Int)	
COM045	09.12.2019 18:36:20	46519731,25 %	12,76	1,27	5 PPM	29 PPM	2	0	731 PPM	211 PPM	26 PPM	1	3	9	2	1	1	60,5561	0,4573	2,7976	0,1541	0,4146	10,6119	0,7990	0,2183	0,6206	1,0887	0,1988	0,4519	0,3172	0,8486	1,2658	1,4592	
COM046	09.12.2019 18:49:15	43755806,25 %	12,02	1,30	49 PPM	93 PPM	10	1	464 PPM	348 PPM	51 PPM	1	7	5	1	0	0	57,1953	0,4305	2,8636	1,4402	1,3305	43,5427	1,4761	0,1387	1,0232	2,1311	0,3292	1,2705	0,1690	0,6387	0,8067	0,9976	
COM047	09.12.2019 19:01:28	43698975,00 %	12,19	1,31	38 PPM	83 PPM	10	1	551 PPM	381 PPM	43 PPM	1	8	5	1	0	0	57,1262	0,4366	2,8767	1,1056	1,1787	42,8870	1,6508	0,1647	1,1199	1,7744	0,2648	1,4489	0,1722	0,7308	0,8257	1,0602	
COM048	09.12.2019 19:13:42	40685921,88 %	12,65	1,30	665 PPM	356 PPM	2	1	0,14 %	0,17 %	998 PPM	5	13	9	2	1	1	53,4625	0,4532	2,8611	19,4535	5,0849	9,8359	1,4706	0,4321	5,1418	41,5007	1,5092	2,3066	0,3392	1,0573	1,3522	1,4773	
COM049	09.12.2019 19:25:54	43733906,25 %	12,29	1,31	50 PPM	112 PPM	10	1	0,14 %	424 PPM	61 PPM	1	14	5	2	0	0	57,1687	0,4403	2,8829	1,4595	1,5961	43,2352	2,2735	0,4127	1,2467	2,5509	0,2597	2,3755	0,1775	0,8332	0,8012	1,0165	
COM050	09.12.2019 19:38:08	43946912,50 %	12,09	1,29	20 PPM	84 PPM	10	1	0,11 %	267 PPM	24 PPM	1	8	5	1	0	0	57,4277	0,4331	2,8513	0,5958	1,1926	43,9423	1,4789	0,3421	0,7861	1,0014	0,2233	1,2955	0,1725	0,6634	0,7845	1,0385	
COM051	09.12.2019 19:50:28	45314434,38 %	13,20	1,34	17 PPM	107 PPM	3	2	0,32 %	411 PPM	37 PPM	1	9	8	2	1	1	59,0906	0,4731	2,9614	0,5076	1,5282	12,6734	2,6553	0,9440	1,2101	1,5314	0,2701	1,4913	0,3074	1,0996	1,2280	1,4308	
COM052	09.12.2019 20:02:42	42921425,00 %	12,40	1,35	80 PPM	173 PPM	10	3	0,16 %	471 PPM	73 PPM	1	29	5	3	0	0	56,1808	0,4443	2,9825	2,3532	2,4739	41,7642	4,0769	0,4674	1,3857	3,0468	0,4560	4,9538	0,1928	1,3391	0,8759	1,0553	
COM053	09.12.2019 20:14:59	45698418,75 %	13,71	1,34	15 PPM	100 PPM	2	1	0,33 %	602 PPM	35 PPM	1	9	9	2	1	1	59,5575	0,4910	2,9521	0,4375	1,4210	10,7942	1,4670	0,9992	1,7691	1,4523	0,2729	1,5302	0,3225	0,9819	1,2663	1,4990	
COM054	09.12.2019 20:27:19	44126609,38 %	13,16	1,45	16 PPM	118 PPM	3	8	0,31 %	413 PPM	37 PPM	1	10	9	2	1	1	57,6462	0,4714	3,1853	0,4782	1,6879	12,0622	12,6967	0,9347	1,2154	1,5304	0,2798	1,6730	0,3210	1,0407	1,2816	1,4567	
COMbl0.8box1_1	18.12.2019 09:39:57	45761653,13 %	11,95	1,26	32 PPM	34 PPM	8	1	301 PPM	203 PPM	46 PPM	1	4	5	1	0	0	59,6344	0,4283	2,7755	0,9312	0,4789	36,7708	0,9019	0,0899	0,5976	1,9013	0,1904	0,6177	0,1813	0,7450	0,8342	1,0344	
COMbl0.8box1_2	18.12.2019 09:52:13	44694065,63 %	11,64	1,25	98 PPM	70 PPM	8	0	264 PPM	280 PPM	147 PPM	1	4	5	1	0	0	58,3362	0,4171	2,7607	2,8633	1,0044	35,8253	0,4088	0,0789	0,8237	6,1095	0,2425	0,7770	0,1760	0,4826	0,8278	1,0338	
COMbl0.8box1_3	18.12.2019 10:04:23	45317396,88 %	11,97	1,26	16 PPM	30 PPM	10	0	258 PPM	99 PPM	30 PPM	0	1	5	1	0	0	59,0942	0,4287	2,7769	0,4692	0,4274	41,9859	0,2923	0,0771	0,2918	1,2453	0,1195	0,2158	0,1670	0,4652	0,8189	1,0471	
COMbl0.8box2_1	18.12.2019 10:16:34	45115384,38 %	12,23	1,27	10 PPM	44 PPM	9	1	296 PPM	96 PPM	55 PPM	0	5	5	1	0	0	58,8485	0,4382	2,7934	0,3050	0,6298	39,4629	0,8740	0,0885	0,2822	2,2924	0,1573	0,8611	0,1766	0,5672	0,8729	1,0684	
COMbl0.8box2_2	18.12.2019 10:28:47	44844856,25 %	11,93	1,25	75 PPM	66 PPM	9	0	283 PPM	177 PPM	118 PPM	1	1	5	1	0	0	58,5196	0,4272	2,7647	2,1805	0,9488	39,5980	0,3755	0,0844	0,5206	4,8999	0,2218	0,2482	0,1768	0,5092	0,8379	1,0410	
COMbl0.8box2_3	18.12.2019 10:41:02	45528950,00 %	11,97	1,26	20 PPM	27 PPM	9	0	274 PPM	94 PPM	42 PPM	0	1	5	1	0	0	59,3514	0,4289	2,7683	0,5763	0,3891	37,8116	0,4393	0,0818	0,2753	1,7384	0,1370	0,2295	0,1723	0,5020	0,8412	1,0288	
COMgff_1	17.12.2019 16:17:06	0 PPM	6,15	6,72	0,37 %	665 PPM	18	431	604 PPM	96 PPM	20 PPM	415	404	43	17	3	2	0,3257	0,2205	14,8135	108,0080	9,4874	79,6052	694,3825	0,1805	0,2830	0,8528	134,3732	69,6870	1,5760	8,6598	6,2391	4,8953	
COMgff_2	17.12.2019 15:18:07	0 PPM	6,11	6,72	0,37 %	662 PPM	18	431	608 PPM	97 PPM	24 PPM	415	405	43	17	3	2	0,3046	0,2188	14,8097	107,9219	9,4540	79,5444	695,1542	0,1816	0,2863	0,9982	134,2973	69,9145	1,5752	8,6229	6,3060	4,9204	
COMgff_3	17.12.2019 15:28:59	0 PPM	6,26	6,70	0,37 %	663 PPM	18	428	595 PPM	92 PPM	25 PPM	415	402	43	16	3	2	0,3484	0,2242	14,7595	108,7624	9,4610	79,4238	689,5890	0,1777	0,2693	1,0274	134,3722	69,3904	1,5607	8,5095	6,1403	4,8065	
COMgffbox_1	18.12.2019 09:05:21	0 PPM	6,12	6,67	0,37 %	617 PPM	18	426	571 PPM	125 PPM	39 PPM	415	394	43	16	3	2	0,2850	0,2192	14,6907	108,9725	8,8056	78,4524	686,3862	0,1706	0,3686	1,6350	134,4865	68,0752	1,5588	8,4095	6,1278	4,8387	
COMgffbox_2	18.12.2019 09:16:50	0 PPM	6,26	6,72	0,37 %	617 PPM	18	427	578 PPM	108 PPM	40 PPM	417	396	43	16	3	2	0,2739	0,2244	14,8109	109,4690	8,8025	78,7318	688,8317	0,1726	0,3179	1,6748	134,9701	68,3556	1,5542	8,4412	6,1742	4,8370	
COMgffbox_3	18.12.2019 09:27:43	0 PPM	6,10	6,70	0,37 %	616 PPM	18	426	570 PPM	119 PPM	42 PPM	416	395	42	16	3	2	0,2712	0,2184	14,7520	109,2707	8,7883	78,7319	686,8755	0,1702	0,3490	1,7608	134,6771	68,1700	1,5397	8,4139	6,1060	4,7739	
